business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Thakurani Boutique & Ladies Tailor & Training Center,Tailor and Fashion Designer,Tailor,"Tailor, Boutique, Coaching Center",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 63723 89877,N/A,5.0,,"Sebasri Colony, Engineering School Rd, near Depaul School, Gajapati Nagar, Brahmapur, Odisha 760010",Gajapati Nagar,19.309133,84.8222615,ChIJc4ZdFw1RPToRc2q2SntzJLU,https://www.google.com/maps/place/?q=place_id:ChIJc4ZdFw1RPToRc2q2SntzJLU,part_348,2026-09-20 20:17:49
Om sai banasree tailor training centre and ladies tailor,Tailor and Fashion Designer,Tailor,"Tailor, Training center",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.8,,"Shanti nagar, Goilundi, Brahmapur, Odisha 760004","Shanti nagar, Goilundi",19.308473799999998,84.8067931,ChIJp5ftpylRPToRfvuUbDWyk5g,https://www.google.com/maps/place/?q=place_id:ChIJp5ftpylRPToRfvuUbDWyk5g,part_348,2026-09-20 20:17:49
Stitch and style Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 76088 58370,N/A,5.0,,"11th Ln, Neelanchal Nagar, Gajapati Nagar, Brahmapur, Odisha 760010","Neelanchal Nagar, Gajapati Nagar",19.3112066,84.8195526,ChIJMYz5KFJRPToRFZygeFtSBLU,https://www.google.com/maps/place/?q=place_id:ChIJMYz5KFJRPToRFZygeFtSBLU,part_348,2026-09-20 20:17:49
Puja tailor and mehendi designer,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,5.0,,"Lane Number 17, sahi, Gosani Nuagam, Brahmapur, Odisha 760003","sahi, Gosani Nuagam",19.2970382,84.78897769999999,ChIJi26XSVZbPToRBrEm93HCYp0,https://www.google.com/maps/place/?q=place_id:ChIJi26XSVZbPToRBrEm93HCYp0,part_348,2026-09-20 20:17:49
Saraswati Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.0,,"24, Khala St, Lanjipalli, Brahmapur, Sanakhajuria, Odisha 760008",Lanjipalli,19.2998577,84.80887369999999,ChIJzziedwBbPToRBEtv2_rZUPw,https://www.google.com/maps/place/?q=place_id:ChIJzziedwBbPToRBEtv2_rZUPw,part_348,2026-09-20 20:17:49
MAA TARINI LADIES TAILOR,Tailor and Fashion Designer,Clothing store,Clothing store,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 77351 03411,N/A,4.6,,"Babaji Tota St, near queen of the missions high school, Manjari Nagar, Brahmapur, Odisha 760001",Manjari Nagar,19.3124677,84.7953854,ChIJTRzK16pRPToR6Lz2XVc8qSY,https://www.google.com/maps/place/?q=place_id:ChIJTRzK16pRPToR6Lz2XVc8qSY,part_348,2026-09-20 20:17:49
Aria Boutique and Tailoring,Tailor and Fashion Designer,Tailor,"Tailor, Stitching Class",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 97021 16445,N/A,4.3,,"Govind Vihar 6th Lane, 2nd Ln Ext, Lochapada, Brahmapur, Odisha 760001",Lochapada,19.3263058,84.80759909999999,ChIJewCkBKxRPToRA2lC6WnZRdo,https://www.google.com/maps/place/?q=place_id:ChIJewCkBKxRPToRA2lC6WnZRdo,part_348,2026-09-20 20:17:49
Sujata Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 96681 97171,N/A,4.9,,"Bapuji Nagar 2nd Lane, Surya Nagar, Korapalli, Gopalpur, Odisha 761002",Surya Nagar,19.2871477,84.8825071,ChIJ8ziKul5ZPToRnO2McyoJZ8c,https://www.google.com/maps/place/?q=place_id:ChIJ8ziKul5ZPToRnO2McyoJZ8c,part_348,2026-09-20 20:17:49
Om Sai Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.7,,"Babaji Tota St, near government queen mission high school, Manjari Nagar, Brahmapur, Odisha 760001",Manjari Nagar,19.312496,84.79541309999999,ChIJb63LInNQPToRRv1AO-RsPd0,https://www.google.com/maps/place/?q=place_id:ChIJb63LInNQPToRRv1AO-RsPd0,part_348,2026-09-20 20:17:49
Bloomy Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.3,,"infront of, Z.H. Road, Zanana Hospital Rd, Godavarish Nagar, Brahmapur, Odisha 760001",Godavarish Nagar,19.306459099999998,84.7984817,ChIJ7xZWC8dRPToR9o9t1Zn1x7w,https://www.google.com/maps/place/?q=place_id:ChIJ7xZWC8dRPToR9o9t1Zn1x7w,part_348,2026-09-20 20:17:49
Puja ladies and gents tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,5.0,,"Front of Saraswati sishu vidya mandir, Godabarish nagar, 1st Line, Baikuntha Nagar, ramahari nagar, Brahmapur, Odisha 760001","Baikuntha Nagar, ramahari nagar",19.3150747,84.7995878,ChIJxScLKHtRPToRlnEZDNNhcUc,https://www.google.com/maps/place/?q=place_id:ChIJxScLKHtRPToRlnEZDNNhcUc,part_348,2026-09-20 20:17:49
Bhagawati Designers Studio,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Boutique, Gents Tailor, Tailor",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 94814 25191,https://jsdl.in/DT-27LUDFIQ8UT,4.9,,"1st floor, near siddeshwar park, opp. apollo parmacy, Siddeshwar Park, Adyapak nagar, Vidya Nagar, Hubballi, Karnataka 580021","Siddeshwar Park, Adyapak nagar, Vidya Nagar",15.3629877,75.11497,ChIJcz1X8f_XuDsRIwjjKc2GTxg,https://www.google.com/maps/place/?q=place_id:ChIJcz1X8f_XuDsRIwjjKc2GTxg,part_348,2026-09-20 20:17:49
Devi tailoring p.g unit Erendra,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,5.0,,"Erendra, Odisha 761013",761002,19.4526467,84.6258089,ChIJhZCuMQBLPToRJ4dgkQSjPvM,https://www.google.com/maps/place/?q=place_id:ChIJhZCuMQBLPToRJ4dgkQSjPvM,part_348,2026-09-20 20:17:49
Nanda Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 90902 22363,N/A,,,"2nd Ln, Sharadhabali, Basudev Nagar, Brahmapur, Odisha 760010","Sharadhabali, Basudev Nagar",19.315319799999997,84.83814269999999,ChIJUdJvjNlRPToRTrOekmqrDnA,https://www.google.com/maps/place/?q=place_id:ChIJUdJvjNlRPToRTrOekmqrDnA,part_348,2026-09-20 20:17:49
Lulu Tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 89080 72841,N/A,5.0,,"Bima Nagar, Brahmapur, Odisha 760011",Bima Nagar,19.3147484,84.8463263,ChIJlcfN1ThRPToRwdWCZFNoNSs,https://www.google.com/maps/place/?q=place_id:ChIJlcfN1ThRPToRwdWCZFNoNSs,part_348,2026-09-20 20:17:49
AARADHYA EMBROIDERY STUDIO,Tailor and Fashion Designer,Tailor,"Tailor, Custom t-shirt store, Embroidery service, Gift shop, Print shop",761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 84568 48439,N/A,5.0,,"opposite indian overseas bank Ambapua, Gandhi Nagar Main, Brahmapur, Odisha 760010",Gandhi Nagar Main,19.3151698,84.8476948,ChIJ_cYZEDhRPToRZ_oTQAlfRuA,https://www.google.com/maps/place/?q=place_id:ChIJ_cYZEDhRPToRZ_oTQAlfRuA,part_348,2026-09-20 20:17:49
sahu ladies tailor,Tailor and Fashion Designer,Tailor,Tailor,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",+91 69010 15776,http://thewordcraver.com/,,,"gandhinagar, 8th Ln, Aurobinda Nagar, Brahmapur, Odisha 760001",Aurobinda Nagar,19.3099709,84.804262,ChIJg3AOsspRPToR7Y17_F1Z_wc,https://www.google.com/maps/place/?q=place_id:ChIJg3AOsspRPToR7Y17_F1Z_wc,part_348,2026-09-20 20:17:49
Nilu Tailoring fashion Designing,Tailor and Fashion Designer,Women's clothing store,Women's clothing store,761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O",N/A,N/A,4.0,,"8V9C+7JM, Chidananda Vihar, Odisha 760007",Chidananda Vihar,19.3191693,84.8719433,ChIJ-Z0KMZJXPToRF50b0vzsinc,https://www.google.com/maps/place/?q=place_id:ChIJ-Z0KMZJXPToRF50b0vzsinc,part_348,2026-09-20 20:17:49
